"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","Title","SibSpGroups","ParchGroups","FamSize","FamSizeGroups","ticketnumber","ticket_id","TicketGroups","fare_outlier","FareGroups","Miss_Cabin","Deck","DeckGroups","Miss_Age","MiceAge","AgeGroups","Child","Mother","singleFemale"
1,0,3,"male",22,1,0,"A/5 21171",7.25,"Missing","S","Mr","1&2","0",2,"2&3","A","Letter","Lowest","no",1,"Missing","M","Missing","age_known",22,"Adult","Adult","Not Mother",0
2,1,1,"female",38,1,0,"PC 17599",71.2833,"C85","C","Mrs","1&2","0",2,"2&3","PC","Letter","High","yes",4,"Known","C","CF","age_known",38,"Adult","Adult","Not Mother",0
3,1,3,"female",26,0,0,"STON/O2. 3101282",7.925,"Missing","S","Miss","0","0",1,"1&7","STON","Letter","Medium","no",2,"Missing","M","Missing","age_known",26,"Adult","Adult","Not Mother",1
4,1,1,"female",35,1,0,"113803",53.1,"C123","S","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",4,"Known","C","CF","age_known",35,"Adult","Adult","Not Mother",0
5,0,3,"male",35,0,0,"373450",8.05,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",35,"Adult","Adult","Not Mother",0
6,0,3,"male",NA,0,0,"330877",8.4583,"Missing","Q","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_missing",36,"Adult","Adult","Not Mother",0
7,0,1,"male",54,0,0,"17463",51.8625,"E46","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",4,"Known","E","BDE","age_known",54,"Adult","Adult","Not Mother",0
8,0,3,"male",2,3,1,"349909",21.075,"Missing","S","Master","3+","1-3",5,"5","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",2,"Child","Child","Not Mother",0
9,1,3,"female",27,0,2,"347742",11.1333,"Missing","S","Mrs","0","1-3",3,"2&3","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",27,"Adult","Adult","Mother",0
10,1,2,"female",14,1,0,"237736",30.0708,"Missing","C","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",14,"Child","Child","Not Mother",0
11,1,3,"female",4,1,1,"PP 9549",16.7,"G6","S","Miss","1&2","1-3",3,"2&3","PP","Letter","High","no",3,"Known","G","G","age_known",4,"Child","Child","Not Mother",0
12,1,1,"female",58,0,0,"113783",26.55,"C103","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",3,"Known","C","CF","age_known",58,"Adult","Adult","Not Mother",1
13,0,3,"male",20,0,0,"A/5. 2151",8.05,"Missing","S","Mr","0","0",1,"1&7","A","Letter","Lowest","no",2,"Missing","M","Missing","age_known",20,"Adult","Adult","Not Mother",0
14,0,3,"male",39,1,5,"347082",31.275,"Missing","S","Mr","1&2","4+",7,"1&7","Number","Number","Medium","no",4,"Missing","M","Missing","age_known",39,"Adult","Adult","Not Mother",0
15,0,3,"female",14,0,0,"350406",7.8542,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",14,"Child","Child","Not Mother",1
16,1,2,"female",55,0,0,"248706",16,"Missing","S","Mrs","0","0",1,"1&7","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",55,"Adult","Adult","Not Mother",1
17,0,3,"male",2,4,1,"382652",29.125,"Missing","Q","Master","3+","1-3",6,"6","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",2,"Child","Child","Not Mother",0
18,1,2,"male",NA,0,0,"244373",13,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_missing",39,"Adult","Adult","Not Mother",0
19,0,3,"female",31,1,0,"345763",18,"Missing","S","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",31,"Adult","Adult","Not Mother",0
20,1,3,"female",NA,0,0,"2649",7.225,"Missing","C","Mrs","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",30,"Adult","Adult","Not Mother",1
21,0,2,"male",35,0,0,"239865",26,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",35,"Adult","Adult","Not Mother",0
22,1,2,"male",34,0,0,"248698",13,"D56","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Known","D","BDE","age_known",34,"Adult","Adult","Not Mother",0
23,1,3,"female",15,0,0,"330923",8.0292,"Missing","Q","Miss","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",15,"Child","Child","Not Mother",1
